Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Customer_Name,City,State,Country,Customer_Segment,Order_ID,Order_Date,Order_Priority,Product_Category,Product_Sub_Category,Ship_Mode,Ship_Date
261.54,0.04,6,-213.25,35,0.8,MUHAMMED MACINTYRE,Kolkatta,West Bengal,India,SMALL BUSINESS,3,13/10/2010,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,20/10/2010
124.56,0.04,32,-14.33,2,0.53,NEOLA SCHNEIDER,Kolkatta,West Bengal,India,HOME OFFICE,807,23/11/2010,MEDIUM,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR,24/11/2010
196.85,0.01,45,-166.85,6.18,0.4,NEOLA SCHNEIDER,Kolkatta,West Bengal,India,HOME OFFICE,807,23/11/2010,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR,24/11/2010
4679.1,0.05,26,111.52,29.21,0.74,JAMIE KUNITZ,Mumbai,Maharashtra,India,CORPORATE,11941,24/6/2010,CRITICAL,FURNITURE,TABLES,DELIVERY TRUCK,25/6/2010
823.63,0.03,44,375.02,3.77,0.39,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,14471,26/5/2011,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,26/5/2011
286.73,0.05,42,-141.51,7.49,0.37,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,14471,26/5/2011,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR,28/5/2011
3819.42,0.1,44,-821.87,42,0.66,LENA HERNANDEZ,Chennai,Tamil Nadu,India,HOME OFFICE,14529,20/9/2010,LOW,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK,24/9/2010
208.78,0.05,42,24.87,2.03,0.51,LENA HERNANDEZ,Chennai,Tamil Nadu,India,HOME OFFICE,14529,20/9/2010,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,22/9/2010
647.78,0,6,-144.87,35.84,0.62,SHAHID HOPKINS,Chennai,Tamil Nadu,India,SMALL BUSINESS,14948,28/5/2011,MEDIUM,FURNITURE,BOOKCASES,DELIVERY TRUCK,29/5/2011
2692.6895,0.03,49,768.32,4.2,0.55,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,16161,28/7/2012,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR,29/7/2012
151.19,0.03,38,60.63,0.71,0.39,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,16161,28/7/2012,MEDIUM,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR,30/7/2012
102.73,0.03,16,16.33,2.5,0.36,GREG MAXWELL,Chennai,Tamil Nadu,India,HOME OFFICE,16257,5/5/2012,NOT SPECIFIED,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR,6/5/2012
167.37,0.1,4,-132.15,4,0.64,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,16806,17/6/2010,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR,18/6/2010
1026.6385,0,18,-201.05,19.99,0.59,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,16806,17/6/2010,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR,19/6/2010
8009.5925,0.02,46,2332.4,8.08,0.59,MICHELLE LONSDALE,Mumbai,Maharashtra,India,HOME OFFICE,12096,19/9/2012,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR,19/9/2012
2405.4575,0.01,40,571.54,7.69,0.59,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,17344,19/7/2010,CRITICAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR,21/7/2010
2162.8165,0.01,20,223.25,8.99,0.59,LENA HERNANDEZ,Chennai,Tamil Nadu,India,HOME OFFICE,17382,4/7/2011,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR,5/7/2011
399.76,0.04,27,48.13,3.5,0.58,LELA DONOVAN,Chennai,Tamil Nadu,India,CORPORATE,17507,12/6/2012,MEDIUM,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR,12/6/2012
5393.27,0.1,22,353.72,28.06,0.56,LELA DONOVAN,Chennai,Tamil Nadu,India,CORPORATE,17507,12/6/2012,MEDIUM,TECHNOLOGY,OFFICE MACHINES,DELIVERY TRUCK,14/6/2012
264.63,0.02,9,-66.78,4,0.75,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,17702,13/4/2012,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,EXPRESS AIR,13/4/2012
239.3,0.06,34,41.31,2.83,0.37,RICARDO EMERSON,Chennai,Tamil Nadu,India,CORPORATE,17831,25/10/2012,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,26/10/2012
260.41,0,38,-45.75,5.35,0.4,RICARDO EMERSON,Chennai,Tamil Nadu,India,CORPORATE,17831,25/10/2012,CRITICAL,OFFICE SUPPLIES,PAPER,EXPRESS AIR,28/10/2012
3075.83,0.03,50,1207.91,1.99,0.5,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,18179,1/8/2009,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR,1/8/2009
73.37,0.04,24,16.1,0.99,0.37,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,18179,1/8/2009,NOT SPECIFIED,OFFICE SUPPLIES,LABELS,REGULAR AIR,2/8/2009
527.6,0,50,221.59,1.79,0.38,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,18179,1/8/2009,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR,3/8/2009
4689.66,0.01,23,2176.19,11.54,0.59,MICHELLE LONSDALE,Mumbai,Maharashtra,India,HOME OFFICE,12096,19/9/2012,MEDIUM,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,21/9/2012
4800.44,0.08,32,1912.92,13.99,0.38,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,19044,11/4/2012,LOW,TECHNOLOGY,OFFICE MACHINES,REGULAR AIR,13/4/2012
271.33,0.07,29,-191.09,9.45,0.6,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,19044,11/4/2012,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,18/4/2012
206.68,0,2,-156.47,35,0.81,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,19462,20/9/2011,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,21/9/2011
1115.2,0.09,41,301.31,1.99,0.5,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,HOME OFFICE,19936,13/11/2012,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR,14/11/2012
36.75,0.06,19,-9.82,1.49,0.37,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,HOME OFFICE,19936,13/11/2012,CRITICAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR,14/11/2012
97.86,0.04,6,-21.09,8.99,0.39,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,19972,16/6/2012,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,18/6/2012
173.44,0.05,42,-172.4,6.6,0.49,SALLY KNUTSON,Chennai,Tamil Nadu,India,CONSUMER,20038,26/2/2010,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,28/2/2010
7477.78,0.09,31,883.29,41.91,0.59,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,20389,11/8/2009,HIGH,FURNITURE,BOOKCASES,DELIVERY TRUCK,13/8/2009
270.39,0.01,24,-30.42,7.94,0.52,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,20389,11/8/2009,HIGH,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,13/8/2009
201.35,0.02,30,-107.37,7.5,0.4,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,20389,11/8/2009,HIGH,OFFICE SUPPLIES,PAPER,EXPRESS AIR,13/8/2009
15.38,0.01,5,1.61,0.5,0.38,GENE HALE,Chennai,Tamil Nadu,India,CONSUMER,20422,26/1/2009,HIGH,OFFICE SUPPLIES,LABELS,REGULAR AIR,28/1/2009
3019.41,0.04,25,1269.05,7.11,0.36,BRENDAN DODSON,Mumbai,Maharashtra,India,CORPORATE,12289,24/12/2011,LOW,TECHNOLOGY,OFFICE MACHINES,REGULAR AIR,28/12/2011
43.97,0.04,22,-9.05,1.49,0.37,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CORPORATE,20676,22/11/2012,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR,26/11/2012
6152.52,0.08,39,768.06,30,0.62,JUSTIN HIRSH,Chennai,Tamil Nadu,India,CONSUMER,20807,21/7/2012,NOT SPECIFIED,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK,23/7/2012
235.98,0.03,21,11.82,3.37,0.57,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CONSUMER,20838,10/4/2009,NOT SPECIFIED,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",REGULAR AIR,11/4/2009
20.17,0.05,5,-15.42,3.97,0.56,SHAHID SHARIARI,Chennai,Tamil Nadu,India,CONSUMER,20838,10/4/2009,NOT SPECIFIED,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR,11/4/2009
195.96,0.1,19,-104.82,6.5,0.64,GIULIETTA WEIMER,Chennai,Tamil Nadu,India,CORPORATE,20960,18/11/2011,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR,23/11/2011
6607.92,0.06,34,1462.72,24.49,0.46,LELA DONOVAN,Chennai,Tamil Nadu,India,CORPORATE,20961,14/1/2010,NOT SPECIFIED,TECHNOLOGY,COPIERS AND FAX,REGULAR AIR,16/1/2010
278.94,0.01,30,-143.7,9.86,0.4,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,21350,24/2/2011,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR,25/2/2011
8549.04,0.03,42,2861.01,11.54,0.59,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,21572,13/2/2009,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR,15/2/2009
670.94,0.02,15,87.51,1.99,0.55,THOMAS BRUMLEY,Chennai,Tamil Nadu,India,CONSUMER,21671,15/6/2010,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR,18/6/2010
9544.18,0,36,3392.88,11.25,0.51,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,22657,29/10/2011,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,EXPRESS AIR,30/10/2011
32.92,0.05,8,-7.73,2,0.53,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,22657,29/10/2011,HIGH,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR,30/10/2011
36.86,0.07,5,-32.82,8.49,0.39,HUNTER GLANTZ,Mumbai,Maharashtra,India,CORPORATE,12352,23/3/2012,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR,24/3/2012
336.91,0.1,11,42.5,8.74,0.4,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,23207,22/10/2010,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR,23/10/2010
138.52,0.03,20,-895.24,49,0.6,KHLOE MILLER,Chennai,Tamil Nadu,India,HOME OFFICE,23940,8/4/2011,MEDIUM,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR,9/4/2011
1735.59,0.02,11,-506.43,60.2,0.77,KHLOE MILLER,Chennai,Tamil Nadu,India,HOME OFFICE,23940,8/4/2011,MEDIUM,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK,11/4/2011
443.35,0.02,37,-21.73,4.98,0.58,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,24450,9/7/2012,CRITICAL,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR,11/7/2012
