Ship_id,Prod_id,Ord_id,Cust_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Customer_Name,City,State,Country,Customer_Segment,Order_ID.x,Order_Date,Order_Priority,Product_Category,Product_Sub_Category,Order_ID.y,Ship_Mode,Ship_Date
SHP_1,Prod_1,Ord_1,Cust_1,261.54,0.04,6,-213.25,35,0.8,MUHAMMED MACINTYRE,Kolkatta,West Bengal,India,SMALL BUSINESS,3,13-10-2010,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,3,REGULAR AIR,20-10-2010
SHP_10,Prod_7,Ord_8,Cust_8,124.56,0.04,32,-14.33,2,0.53,NEOLA SCHNEIDER,Kolkatta,West Bengal,India,HOME OFFICE,807,23-11-2010,MEDIUM,OFFICE SUPPLIES,RUBBER BANDS,807,REGULAR AIR,24-11-2010
SHP_10,Prod_6,Ord_8,Cust_8,196.85,0.01,45,-166.85,6.18,0.4,NEOLA SCHNEIDER,Kolkatta,West Bengal,India,HOME OFFICE,807,23-11-2010,MEDIUM,OFFICE SUPPLIES,PAPER,807,REGULAR AIR,24-11-2010
SHP_100,Prod_11,Ord_75,Cust_50,4679.1,0.05,26,111.52,29.21,0.74,JAMIE KUNITZ,Mumbai,Maharashtra,India,CORPORATE,11941,24-06-2010,CRITICAL,FURNITURE,TABLES,11941,DELIVERY TRUCK,25-06-2010
SHP_1000,Prod_5,Ord_735,Cust_237,823.63,0.03,44,375.02,3.77,0.39,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,14471,26-05-2011,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,14471,REGULAR AIR,26-05-2011
SHP_1001,Prod_6,Ord_735,Cust_237,286.73,0.05,42,-141.51,7.49,0.37,RALPH KENNEDY,Chennai,Tamil Nadu,India,CORPORATE,14471,26-05-2011,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,14471,REGULAR AIR,28-05-2011
SHP_1002,Prod_15,Ord_736,Cust_254,3819.42,0.1,44,-821.87,42,0.66,LENA HERNANDEZ,Chennai,Tamil Nadu,India,HOME OFFICE,14529,20-09-2010,LOW,FURNITURE,CHAIRS & CHAIRMATS,14529,DELIVERY TRUCK,24-09-2010
SHP_1003,Prod_5,Ord_736,Cust_254,208.78,0.05,42,24.87,2.03,0.51,LENA HERNANDEZ,Chennai,Tamil Nadu,India,HOME OFFICE,14529,20-09-2010,LOW,FURNITURE,OFFICE FURNISHINGS,14529,REGULAR AIR,22-09-2010
SHP_1004,Prod_10,Ord_737,Cust_240,647.78,0,6,-144.87,35.84,0.62,SHAHID HOPKINS,Chennai,Tamil Nadu,India,SMALL BUSINESS,14948,28-05-2011,MEDIUM,FURNITURE,BOOKCASES,14948,DELIVERY TRUCK,29-05-2011
SHP_1005,Prod_4,Ord_738,Cust_241,2692.6895,0.03,49,768.32,4.2,0.55,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,16161,28-07-2012,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,16161,REGULAR AIR,29-07-2012
SHP_1006,Prod_7,Ord_738,Cust_241,151.19,0.03,38,60.63,0.71,0.39,KRISTINA NUNN,Chennai,Tamil Nadu,India,CONSUMER,16161,28-07-2012,MEDIUM,OFFICE SUPPLIES,RUBBER BANDS,16161,REGULAR AIR,30-07-2012
SHP_1007,Prod_9,Ord_739,Cust_255,102.73,0.03,16,16.33,2.5,0.36,GREG MAXWELL,Chennai,Tamil Nadu,India,HOME OFFICE,16257,05-05-2012,NOT SPECIFIED,OFFICE SUPPLIES,ENVELOPES,16257,REGULAR AIR,06-05-2012
SHP_1008,Prod_8,Ord_740,Cust_245,167.37,0.1,4,-132.15,4,0.64,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,16806,17-06-2010,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,16806,REGULAR AIR,18-06-2010
SHP_1009,Prod_4,Ord_740,Cust_245,1026.6385,0,18,-201.05,19.99,0.59,VICKY FREYMANN,Chennai,Tamil Nadu,India,HOME OFFICE,16806,17-06-2010,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,16806,REGULAR AIR,19-06-2010
SHP_101,Prod_4,Ord_76,Cust_58,8009.5925,0.02,46,2332.4,8.08,0.59,MICHELLE LONSDALE,Mumbai,Maharashtra,India,HOME OFFICE,12096,19-09-2012,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,12096,REGULAR AIR,19-09-2012
SHP_1010,Prod_4,Ord_741,Cust_238,2405.4575,0.01,40,571.54,7.69,0.59,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,17344,19-07-2010,CRITICAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,17344,REGULAR AIR,21-07-2010
SHP_1011,Prod_4,Ord_742,Cust_254,2162.8165,0.01,20,223.25,8.99,0.59,LENA HERNANDEZ,Chennai,Tamil Nadu,India,HOME OFFICE,17382,04-07-2011,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,17382,REGULAR AIR,05-07-2011
SHP_1012,Prod_2,Ord_743,Cust_231,399.76,0.04,27,48.13,3.5,0.58,LELA DONOVAN,Chennai,Tamil Nadu,India,CORPORATE,17507,12-06-2012,MEDIUM,OFFICE SUPPLIES,APPLIANCES,17507,REGULAR AIR,12-06-2012
SHP_1013,Prod_17,Ord_743,Cust_231,5393.27,0.1,22,353.72,28.06,0.56,LELA DONOVAN,Chennai,Tamil Nadu,India,CORPORATE,17507,12-06-2012,MEDIUM,TECHNOLOGY,OFFICE MACHINES,17507,DELIVERY TRUCK,14-06-2012
SHP_1014,Prod_8,Ord_744,Cust_250,264.63,0.02,9,-66.78,4,0.75,MARK COUSINS,Chennai,Tamil Nadu,India,HOME OFFICE,17702,13-04-2012,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,17702,EXPRESS AIR,13-04-2012
SHP_1015,Prod_5,Ord_745,Cust_242,239.3,0.06,34,41.31,2.83,0.37,RICARDO EMERSON,Chennai,Tamil Nadu,India,CORPORATE,17831,25-10-2012,CRITICAL,FURNITURE,OFFICE FURNISHINGS,17831,REGULAR AIR,26-10-2012
SHP_1016,Prod_6,Ord_745,Cust_242,260.41,0,38,-45.75,5.35,0.4,RICARDO EMERSON,Chennai,Tamil Nadu,India,CORPORATE,17831,25-10-2012,CRITICAL,OFFICE SUPPLIES,PAPER,17831,EXPRESS AIR,28-10-2012
SHP_1017,Prod_8,Ord_746,Cust_248,3075.83,0.03,50,1207.91,1.99,0.5,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,18179,01-08-2009,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,18179,REGULAR AIR,01-08-2009
SHP_1018,Prod_12,Ord_746,Cust_248,73.37,0.04,24,16.1,0.99,0.37,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,18179,01-08-2009,NOT SPECIFIED,OFFICE SUPPLIES,LABELS,18179,REGULAR AIR,02-08-2009
SHP_1019,Prod_6,Ord_746,Cust_248,527.6,0,50,221.59,1.79,0.38,LIZ PRICE,Chennai,Tamil Nadu,India,CORPORATE,18179,01-08-2009,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,18179,REGULAR AIR,03-08-2009
SHP_102,Prod_5,Ord_76,Cust_58,4689.66,0.01,23,2176.19,11.54,0.59,MICHELLE LONSDALE,Mumbai,Maharashtra,India,HOME OFFICE,12096,19-09-2012,MEDIUM,FURNITURE,OFFICE FURNISHINGS,12096,REGULAR AIR,21-09-2012
SHP_1020,Prod_17,Ord_747,Cust_238,4800.44,0.08,32,1912.92,13.99,0.38,ROB DOWD,Chennai,Tamil Nadu,India,CORPORATE,19044,11-04-2012,LOW,TECHNOLOGY,OFFICE MACHINES,19044,REGULAR AIR,13-04-2012
